SF.Account.Name,Top.Level.Account,YTD.Annuity,YTD.Life,Notes,Twitter,Facebook,LinkedIn,Website,
Advisors Excel Llc,Advisors Excel Llc,36293185,-3248,"It doesn't look like they have a company handle, but Brad is one of the principals", @brad_johnson,https://www.facebook.com/advisorsexcel/,https://www.linkedin.com/company/advisors-excel,http://www.advisorsexcel.com,
Dressander Bhc Inc,Dressander Bhc Inc,24923557,0,, @dressanderbhc,https://www.facebook.com/DressanderBHC,https://www.linkedin.com/company/dressanderbhc,http://dbhc.com,
Creative One Marketing Corpora,Creative One Marketing Corpora,24511866,0,, @gocreativeone,https://www.facebook.com/CreativeOneIMO,https://www.linkedin.com/company/creative-marketing-international-corporation,http://www.creativeone.com,
Gradient Insurance Brokerage I,Gradient Insurance Brokerage I,21791826,644,"I couldn't find any social for Gradient, unless they are under someone else?",,,,http://www.gradientfinancialgroup.com/gradient-annuity-brokerage/home,
Ameri-Life,Ameri-Life,21197112,1327,, @amerilife,https://www.facebook.com/AmeriLifeCorporate/?fref=nf,https://www.linkedin.com/company/966976,http://www.amerilife.com,
Cla Usa Inc,Cla Usa Inc,17228673,0,, @clausainc,https://www.facebook.com/CLA.USA.Insurance/,https://www.linkedin.com/company/1286758,http://www.clausa.com,
Brokers International Ltd,Amz Financial Insurance Servic,16439408,0,, @brokersintltd,https://www.facebook.com/BrokersInternationalLTD,https://www.linkedin.com/company/brokers-international-ltd.,https://www.biltd.com,
Partners Advantage Ins Service,Partners Advantage Ins Service,16407379,702884,, @partnersadvins,https://www.facebook.com/partnersadvantage,https://www.facebook.com/partnersadvantage,https://www.partnersadvantage.com,
Aip Marketing Alliance Inc,Aip Marketing Alliance Inc,16356904,7962,,,,,https://www.aiponline.net,
Ann Arbor Annuity Exchange Llc,Ann Arbor Annuity Exchange Llc,15865605,3665,,,,,http://www.annuity-exchange.com,
Ideal Producers Group Inc,Legacy Marketing Group,15564423,-132000,, @idealpg,https://www.facebook.com/IdealProducersGroup/?ref=search,https://www.linkedin.com/company/1803373,http://www.idealpg.com,
Impact Partnership Llc,Legacy Marketing Group,15440351,3523,Used information from Legacy, @legacymarketnet,,,http://www.legacynet.com,
The Producers Choice Llc,Mv Group Inc,13773770,0,Couldn't find anything on this. Used FSA,,,,http://fsa4life.com,
Southwest Annuities Marketing,Ameri-Life,10661613,0,Subsidiary of Amerilife,,https://www.facebook.com/unkeferandassociates,,http://www.unkefer.net,
Financial Independence Group I,Collabrix Llc,9958496,0,, @figmarketing,https://www.facebook.com/FinancialIndependenceGroup,https://www.linkedin.com/company/financial-independence-group,http://www.figmarketing.com,
Eca Marketing Inc,Collabrix Llc,8832118,704,, @ecamarketing,https://www.facebook.com/ECAMarketing/,https://www.linkedin.com/company/eca-marketing,http://public.ecamarketing.com,
First Annuity And Insurance Ma,Brokers International Ltd,8543585,0,, @firstannuity,https://www.facebook.com/firstannuity,https://www.linkedin.com/company/3347921,http://firstannuity.net,
The Annuity Source Inc,Collabrix Llc,7937270,0,, @source4annuity,https://www.facebook.com/TheAnnuitySourceInc/?fref=nf,https://www.linkedin.com/company/2634612,http://www.theannuitysourceinc.com,
Magellan Financial Insurance,Partners Advantage Ins Service,6577222,0,Couldn't find anything on this,,,,http://magellanfinancial.com,
Alpha Ins Brokerage Llc,Aip Marketing Alliance Inc,5958553,0,,,https://www.facebook.com/AlphaInsuranceBrokerage/?fref=ts,https://www.linkedin.com/company/4134529,http://alphaib.com,
Sunderland Group Ltd,Sunderland Group Ltd,5340089,0,, @sunderlandgroup,,https://www.linkedin.com/in/sunderlandgroup,http://www.sunderlandgroup.com,
Americas First Financial Corp,"Daugherty, Robert",5126146,0,Researched in SalesLink. Robert Daugherty is the principal at Oxbow Marketing so I used that information here,,https://www.facebook.com/Oxbow-Marketing-210443672325997/?fref=ts,,http://www.oxbowmkt.com,
Wealthvest Marketing Inc,Mv Group Inc,5045422,0,, @wealthvest,,https://www.linkedin.com/company/681217,http://wealthvest.com,
"Carter, Dwight",Mv Group Inc,4384724,33914,,,,,http://fsa4life.com,
"Rawlings, Ronald","Rawlings, Ronald",4321415,0,Ron is the principal lat Dallas Financial Wholesalers to I used that info, @dfw_rawlings,https://www.facebook.com/Dallas-Financial-Wholesalers-269679153860,https://www.linkedin.com/in/ron-rawlings-a2800213,http://www.ronrawlings.com/DFW/newfiles/index-dfw.php,
The Revolution Fmo Llc,Partners Advantage Ins Service,4205717,816,,,,,https://www.revolutionmo.com,
Brokers Choice Of America Inc,Brokers Choice Of America Inc,3786664,89934,, @brokerschoice,https://www.facebook.com/Brokers-Choice-of-America-541938112639243/?fref=ts,https://www.linkedin.com/company/1929721,http://www.brokerschoice.com,
Zenith Marketing Group,Zenith Marketing Group,3591724,0,, @zenithmktg,,https://www.linkedin.com/company/zenith-marketing-group,http://www.zenithmarketing.com/front-panel,
"Hellerich, Richard",Collabrix Llc,3481493,0,Rich is the principal at Great Plains Annuity, @gpalmarketing,https://www.facebook.com/GreatPlainsAnnuityAndLifeMarketing,https://www.linkedin.com/company/great-plains-annuity-&-life-marketing,http://www.greatplainsannuity.com,
The Life And Annuity Shop Llc,Ameri-Life,2912235,312,,,https://www.facebook.com/annuity1/?fref=nf,https://www.linkedin.com/company/10174129,http://www.annuity1.com,
Tarkenton Financial Llc,Brokers International Ltd,2514403,-100,, @tarkfinancial,https://www.facebook.com/TarkentonFinancial,https://www.linkedin.com/company/tarkenton-financial,http://tarkentonfinancial.com,
Insurmark,Collabrix Llc,2446009,0,, @insurmark,https://www.facebook.com/insurmark,https://www.linkedin.com/company/insurmark,http://www.insurmark.net,
Executive Brokerage Services,Mv Group Inc,2152617,0,,,,,http://www.executivebrokerage.net/index.php,
Insurance Agency Marketing Ser,Creative One Marketing Corpora,2023707,0,, @iamsinc,https://www.facebook.com/iamsinc,https://www.linkedin.com/company/insurance-agency-marketing,http://www.iamsinc.com,
"Quante, Donald A",Mv Group Inc,2005864,0,"Don is principal at America's First Financial, so I used their information",,,https://www.linkedin.com/company/1730830,http://www.4affc.com,
The Ohlson Group Inc,Mv Group Inc,1890451,0,, @ohlsongroup,,https://www.linkedin.com/company/the-ohlson-group-inc,https://www.ohlsongroup.com,
Prosperity Advantage Marketing,Ameri-Life,1785269,0,, @proadvantagemkt,,https://www.linkedin.com/company/1127734,http://www.proadvantagemkt.com,
Ash Brokerage Corp,Ann Arbor Annuity Exchange Llc,1734057,0,, @ashbrokerage,https://www.facebook.com/AshBrokerageCorp,https://www.linkedin.com/company/ash-brokerage,http://www.ashbrokerage.com/,
M & O Marketing Inc,Collabrix Llc,1596452,4075,,,,,http://www.mandomarketing.com/,
America Retirement Systems Llc,Dressander Bhc Inc,1460265,0,, @ARS_LLC,https://www.facebook.com/pages/American-Retirement-Systems/1530103983968886?rf=159640020724598,https://www.linkedin.com/company/american-retirement-systems,http://americanretirementsystems.com/,
Superior Performers Inc Dba,Superior Performers Inc Dba,1421121,110430,Actually NAA, @naaleadstheway,https://www.facebook.com/NationalAgentsAlliance?ref=nf,https://www.linkedin.com/company/1363,https://www.naaleads.com,
Asset Marketing Systems Ins Se,Advisors Excel Llc,1384932,0,,,https://www.facebook.com/AssetFMO/,https://www.linkedin.com/company/asset-marketing-systems,http://amsfmo.com/,
Usa Financial Insurance Servic,Mv Group Inc,1322574,0,,,,,http://www.usafinancial.com,
Gameplan Financial Marketing L,Ann Arbor Annuity Exchange Llc,1277138,0,,,,,https://www.gameplanfinancial.com/,
Vick & Associates Inc,Collabrix Llc,1178606,0,,,,,https://www.vickassociates.com/,
Fairlane Financial Corporation,Ameri-Life,1022621,0,,,,,https://www.888fairlane.com/ffw/,
Marketing Resources Inc,Partners Advantage Ins Service,959525,0,, @mktresources,https://www.facebook.com/MktResources,https://www.linkedin.com/in/marketingresources,http://www.marketingresources.us.com,
"Mattson, Brian","Rawlings, Ronald",928067,0,This is Mattson Financial Services,,,https://www.linkedin.com/company/4025320,http://www.mattsonfinancialservices.com,
Adams-Moore Llc,Mv Group Inc,906996,0,,,https://www.facebook.com/Adams-Moore-LLC-200755573301571/,https://www.linkedin.com/company/adams-moore-llc,http://www.adams-moore.com/,
"Reynolds, Chad",Mv Group Inc,852390,0,, @alphasolmgt,https://www.facebook.com/Alpha-Solutions-Mgt-194612253894305/,https://www.linkedin.com/company/1806919,http://www.alphasolutionsmgt.com,
Pro Formance Financial Group,Mv Group Inc,807260,0,,,,,http://www.pfg-inc.com/,
"Tucker, Karlan",Legacy Marketing Group,760409,0,This is Tucker Advisors, @tucker_advisors,https://www.facebook.com/tuckeradvisors,https://www.linkedin.com/company/tucker-advisory-group,http://www.tuckeradvisors.com,
Roster Financial Llc,Ann Arbor Annuity Exchange Llc,758526,0,, @rosterfinancial,https://www.facebook.com/rosterfinancial,https://www.linkedin.com/company/roster-financial,http://www.rosterfinancial.com/,
Allegiance Marketing Group Llc,Mv Group Inc,658797,0,"I believe they may have changed their name to Game Plan Financial, so I used their info",,,,https://gameplanfinancial.com,
Retirement Planning Assoc Llc,Dressander Bhc Inc,611100,172294,"This is Edge on Life (Scott Bergman), so I used their information",,,,http://www.edgeonlife.net/,
Annuco Llc,Mv Group Inc,546596,0,,,https://www.facebook.com/Annuco/,https://www.linkedin.com/company/annuco,http://www.annuco.com/,
Able Financial Group Llc,Brokers International Ltd,524319,0,,,,,http://www.ablefinancialgroup.com/,
"Dougharty, Julian",Ameri-Life,497377,0,, @dfsdfs2011,https://www.facebook.com/pages/DFS-Marketing/431791887004336?fref=ts,https://www.linkedin.com/company/6608187,http://www.dfs-marketing.com,
Capitas Agency Llc,Mv Group Inc,480306,0,, @capitasins,https://www.facebook.com/CapitasFinancial/?fref=nf,https://www.linkedin.com/company/88795,http://www.capitasfinancial.com/producercenter/Partners.aspx,
Premier Insurance Partners Llc,Ameri-Life,470566,0,,,,https://www.linkedin.com/company/premier-insurance-partners,http://www.premierpartnersllc.com/,
Asset Protectors & Advisors In,Brokers International Ltd,427639,0,,,https://www.facebook.com/pages/Asset-Protectors-Advisors/441262519386217?fref=ts,,http://guaranteedsafe.com/,
Western World Marketing Servic,Mv Group Inc,395870,0,,,,,http://westernworldmarketing.com/,
Imeriti Inc,Partners Advantage Ins Service,384848,0,, @imeriti,https://www.facebook.com/Imeriti/,https://www.linkedin.com/company/imeriti,http://imeriti.com/,
Brokers Alliance Inc,Collabrix Llc,357632,-1105,, @brokersalliance,https://www.facebook.com/brokersalliance/,https://www.linkedin.com/company/brokers-alliance-inc,http://www.brokersalliance.com/,
Financial Brokerage Inc,Asurea Wholesale Ins Services,356197,0,, @fb_inc,https://www.facebook.com/FinancialBrokerageInc,https://www.linkedin.com/company/100813,https://financial-brokerage.com/,
Advisors Resource Llc,Ann Arbor Annuity Exchange Llc,312090,0,,,,https://www.linkedin.com/company/865737,http://advisorsres.com/,
"Pashby, Matthew Adams",Partners Advantage Ins Service,296354,53040,Matt is the principal at ALB Insurance Marketing so I used their info,,https://www.facebook.com/pages/ALB-Insurance-Marketing/120493564676846?fref=ts,https://www.linkedin.com/company/8833393,http://www.albinsurance.com,
Wealthmark Advisors Incorporat,Wealthmark Advisors Incorporat,294836,0,, @wealthmarkinc,https://www.facebook.com/wealthmarkadvisors,https://www.linkedin.com/in/wealthmarkadvisors,http://wealthmarkadvisors.com/,
"Heinzelman, Charles",American Wealth Group,292309,0,He's with C4 Benefits Group so I used their info, @c4benefitsgroup,https://www.facebook.com/C4BenefitsGroup,https://www.linkedin.com/company/9266208,http://www.c4bg.com,
Amz Financial Insurance Servic,Partners Advantage Ins Service,286957,31962,, @amzfinancial,https://www.facebook.com/AMZFinancial/,https://www.linkedin.com/company/1393508,http://www.amzwebcenter.com/,
American Brokerage Services In,Collabrix Llc,277156,0,,,https://www.facebook.com/American-Brokerage-Services-484911045018055/?fref=nf,https://www.linkedin.com/company/americanbrokerageservices,http://www.absgo.com/,
Safe Harbor Financial Inc,Mv Group Inc,202000,0,,,https://www.facebook.com/safeharborfinancialinc,,http://www.safeharborfinancial.com/,
John M Bulbrook Ins Agency Inc,Mv Group Inc,201740,0,, @preownedannuity,https://www.facebook.com/bulbrookdrislane,https://www.linkedin.com/in/johnbulbrook,http://www.bulbrookdrislane.com/,
Dmi Marketing Inc,Dmi Marketing Inc,199530,0,, @dmi_marketing,https://www.facebook.com/DMI.Inc,https://www.linkedin.com/company/1373008,http://www.dmi.com/,
Senior Advisory Group Of Ameri,Mv Group Inc,194477,0,, @senioradvisoryg,https://www.facebook.com/Senior-Advisory-Group-252933278221/?ref=nf,https://www.linkedin.com/in/senioradvisorygroup,http://senioradvisorygroup.com/,
Brokers Clearing House Ltd,Collabrix Llc,194365,0,, @bch_life,https://www.facebook.com/brokersclearinghouse,https://www.linkedin.com/company/brokers-clearing-house,http://bchlife.com/,
Amerity Financial Llc,Collabrix Llc,182088,0,, @amerityf,https://www.facebook.com/AmerityFinancial,https://www.linkedin.com/in/amerity-financial-36007b51,http://amerityfinancial.com/,
"Davis, Trent",Mv Group Inc,179179,0,, @davisbrokerage,https://www.facebook.com/Davis-Life-Annuity-150685491640390/,https://www.linkedin.com/company/869031,http://www.davislife.com/our-team/trent-davis/,
Capital Care America Inc,Partners Advantage Ins Service,162000,0,,,,,http://www.capitalcareamerica.com/,
Megastar Advisors Llc,Brokers International Ltd,130143,0,, @megastaradvisor,https://www.facebook.com/megastaradvisors?fref=ts,https://www.linkedin.com/company/megastar-advisors,http://www.megastaradvisors.com/,
Personalized Brokerage Service,Ann Arbor Annuity Exchange Llc,130000,0,,,,https://www.linkedin.com/company/146467,https://www.accesspbs.com/,
Table Bay Financial Network In,Brokers International Ltd,122994,0,, @tablebaysd,https://www.facebook.com/TableBay,https://www.linkedin.com/company/table-bay-financial-network,http://tablebayfinancial.com/,
"Rettich, Matthew","Rettich, Matthew",106600,0,, @matthewjrettick,,https://www.linkedin.com/in/mattrettick,https://mattrettick.com/,
Medallion Brokerage Insurance,Collabrix Llc,1.00E+05,0,, @medallionfin,https://www.facebook.com/MedallionFinancial?fref=ts,https://www.linkedin.com/company/medallion-financial-distributors,http://www.medallionfin.com,
Asurea Wholesale Ins Services,Asurea Wholesale Ins Services,98059,44530,, @asurea,https://www.facebook.com/asurea/,https://www.linkedin.com/company/asurea,https://www.asurea.com/,
Life Professionals Llc,Life Professionals Llc,86456,0,,,https://www.facebook.com/Life-Professionals-LLC-460736064084143/,https://www.linkedin.com/company/life-professionals-llc,http://www.lifeprofessionals.com/,
Eugene Cohen Insurance Agency,Collabrix Llc,85000,0,,,https://www.facebook.com/pages/Eugene-Cohen-Insurance-Agency/151837918174359?fref=ts,https://www.linkedin.com/company/833515,http://www.cohenagency.com/,
