"","TransIdentifier","Liquid_Src","Non_Liquid_Src","Amount","Purchase","difference"
"10","FV3-BYVV-ZSV",20000,0,60000,20000,40000
"17","FV3-CHS4-2HP",54087.12,0,54087.1211,54087.12,0
"18","FV3-CIA4-D5W",39952.4,0,39952.3984,39952.4,0
"19","FV3-CK5S-DYH",21250,78750,2e+05,1e+05,1e+05
"50","FV4-CM5J-OE6",29198.78,0,29198.7793,29198.78,0
"66","FV5-BU7V-GEC",100027.81,0,100027.8125,100027.81,0
"82","FV6-B4UO-D2C",20611.58,0,20611.5801,20611.58,0
"99","FV6-CCWB-RZU",51086.07,0,51086.0703,51086.07,0
"102","FV6-CEY2-AMO",98000,0,196000,98000,98000
"126","FV7-CBQB-RRC",0,45725.9,91451.7969,45725.9,45726
"128","FV7-CE4X-F66",138043.81,0,138043.8125,138043.81,0
"143","FVU-BV6L-4IR",4e+05,0,8e+05,4e+05,4e+05
"190","FVV-CFZO-G7P",107331.67,0,107331.6719,107331.67,0
"194","FVV-CIU5-L7H",0,47248.49,47248.4883,47248.49,0
"200","FVW-BT7C-ZKA",20000,0,40000,20000,20000
"204","FVW-BYTJ-QLH",1e+05,0,2e+05,1e+05,1e+05
"220","FVX-B4XE-7XH",23434.64,0,23434.6406,23434.64,0
"229","FVX-CA4F-3VG",28826.04,0,28826.0391,28826.04,0
"232","FVX-CDDK-LMN",0,81800.13,81800.1328,81800.13,0
"233","FVX-CDKO-32G",30000,0,60000,30000,30000
"249","FVY-B2CM-NIB",36330.95,0,72661.8984,36330.95,36331
"257","FVY-BWBA-KZH",26565.36,0,53130.7188,26565.36,26566
"258","FVY-BXTC-TZP",36350.95,0,72701.8984,36350.95,36351
"259","FVY-BY6R-ONZ",57516.81,0,57516.8086,57516.81,0
"277","FW3-B6JK-YXX",27248.01,0,27248.0098,27248.01,0
"284","FW3-CNWR-HWE",104498.58,0,104498.5781,104498.58,0
"321","FWC-CEZZ-CWA",44149.96,0,44149.9609,44149.96,0
"324","FWC-CHAN-EG2",61417.62,0,61417.6211,61417.62,0
"328","FWC-CLGN-JKZ",32749.44,0,32749.4395,32749.44,0
"333","FWD-B5J3-VVO",176828.51,0,176828.5156,176828.51,0
"339","FWD-BVXZ-M4R",25000,0,50000,25000,25000
"354","FWE-B5PN-IZH",25000,0,75000,25000,50000
"360","FWE-CAXV-75B",34254.68,0,34254.6797,34254.68,0
"365","FWE-CJ6F-TQU",0,54704.81,54704.8086,54704.81,0
"396","FWG-B737-M55",225881.18,0,225881.1875,225881.18,0
"397","FWG-BVRT-S5D",35153.53,0,35153.5312,35153.53,0
"403","FWG-CLEK-IVD",39671.94,0,39671.9414,39671.94,0
"413","FWJ-BXQV-MBS",22280.7,0,44561.3984,22280.7,22280
"437","FWK-CGQG-RTZ",1e+05,0,5e+05,1e+05,4e+05
"462","FWR-BYY5-G3H",111836.1,0,111836.1016,111836.1,0
"466","FWS-COAU-BWP",29940.98,17863,47803.9805,47803.98,0
"471","FWX-B32X-3JR",127021.21,0,127021.2109,127021.21,0
"474","FWX-BUZZ-ARZ",189986.92,0,189986.9219,189986.92,0
"475","FWX-BXTZ-IXG",143794.35,0,143794.3438,143794.35,0
"487","FWY-COI4-YZI",30000,0,60000,30000,30000
"516","FX2-CDGN-FAY",192600,0,385200,192600,192600
"519","FX2-CMHY-L5B",21000,0,42000,21000,21000
"521","FX2-CN2F-CCI",64900,0,129800,64900,64900
"529","FX3-BX3B-E63",37145.87,0,37145.8711,37145.87,0
"531","FX3-BZDJ-WRG",50479.89,0,50479.8906,50479.89,0
"535","FX3-CA5D-4FV",20000,0,60000,20000,40000
"536","FX3-CA5S-X7G",64500.84,0,64500.8398,64500.84,0
"540","FX3-CCWM-YVQ",75131.7,0,75131.7031,75131.7,0
"542","FX3-CDR3-G72",301000,0,903000,301000,602000
"551","FX3-CN4N-IDS",43000,0,86000,43000,43000
"559","FX4-B6KE-FLF",72959.4,0,72959.3984,72959.4,0
"565","FX4-CAJN-XXV",20000,0,40000,20000,20000
"567","FX4-CDQH-7PT",29250,0,117000,29250,87750
"568","FX4-CDY6-ZGN",102000,0,204000,102000,102000
"572","FX4-CFFY-P55",56092.74,0,56092.7383,56092.74,0
"578","FX4-CJES-INP",50000,0,150000,50000,1e+05
"581","FX4-CNFG-A2P",100033.8,0,200067.5938,100033.8,100034
"589","FX5-BX7Q-IL7",40000,17000,114000,57000,57000
"594","FX5-CCP6-T6A",57385.2,0,57385.1992,57385.2,0
"601","FX6-B4HA-OFR",69637.12,0,69637.1172,69637.12,0
"608","FX6-BTLL-AFC",29114.45,0,29114.4492,29114.45,0
"613","FX6-BZL6-UXH",26819.56,0,26819.5605,26819.56,0
"616","FX6-CDXG-ELE",146705.29,0,146705.2969,146705.29,0
"618","FX6-CJKX-3SP",20000,0,40000,20000,20000
"665","FXH-CJO4-UXG",20126.2,0,20126.1992,20126.2,0
"671","FXI-B6CP-OX6",93707.77,0,93707.7734,93707.77,0
"675","FXI-BX3U-Y3H",250090.65,0,250090.6562,250090.65,0
"681","FXI-CK4I-OCU",0,65062.13,260248.5156,65062.13,195187
"685","FXJ-BU7F-SC2",290969.19,0,290969.1875,290969.19,0
"698","FXJ-CMAP-SAG",85000,0,170000,85000,85000
"699","FXJ-CO2W-3OV",36500,0,73000,36500,36500
"701","FXK-CDCQ-EAT",47500,0,95000,47500,47500
"706","FXM-BXIP-ITD",878839.42,0,878839.4375,878839.42,0
"710","FXM-CCL7-SJO",75500,0,151000,75500,75500
"732","FXN-BYZL-6DO",115622.18,0,115622.1797,115622.18,0
"735","FXN-CI6X-GW4",23360,0,93440,23360,70080
"736","FXN-CIED-T2M",23711.26,0,23711.2598,23711.26,0
"740","FXO-B2DT-CPF",40060,0,200300,40060,160240
"747","FXO-BV4O-I6G",120612.3,0,120612.2969,120612.3,0
"758","FXO-CGUI-BXU",56238.22,0,56238.2188,56238.22,0
"762","FXO-CIB2-WBT",0,50000,1e+05,50000,50000
"766","FXO-COLN-EZD",28219.74,0,28219.7402,28219.74,0
"767","FXO-CQIG-SDD",0,25010,50020,25010,25010
"773","FXP-B7F7-FVA",59095.78,0,59095.7812,59095.78,0
"778","FXP-CAXF-LZ2",136000.18,0,136000.1875,136000.18,0
"787","FXP-CNN6-7NI",177731.62,0,355463.25,177731.62,177731
"796","FXQ-BTU4-P7X",87807.56,0,87807.5625,87807.56,0
"804","FXQ-CFUX-3B6",23355.94,0,23355.9395,23355.94,0
"813","FXT-BV6S-Q53",200888,0,1004440,200888,803552
